maize,soybean,hay,pkc,protein,fiber,energy,breed,age,weight,milk_yield,weight_gain,cost
58,29,38,0,14.38,17.36,73.87,Friesian,3,464,35.69,4.25,559.61
40,10,21,29,19.95,8.08,50.92,Friesian,3,493,30.01,3.22,381.22
26,30,18,26,12.85,19.39,88.63,Jersey,2,595,31.64,3.69,467.57
27,24,12,37,23.82,11.11,76.5,White Fulani,2,639,37.23,4.09,431.13
48,27,35,0,17.85,12.74,87.07,White Fulani,8,711,35.39,4.15,520.47
45,34,37,0,19.89,11.31,61.85,White Fulani,1,770,35.12,3.61,572.23
43,20,28,9,21.19,16.75,80.85,Friesian,5,739,35.28,4.28,441.63
53,10,25,12,16.82,16.03,76.64,Bunaji,8,796,32.91,3.99,386.48
33,12,10,45,21.38,10.83,60.24,Friesian,9,456,30.7,3.52,366.62
51,13,39,0,13.81,15.25,71.59,Bunaji,4,774,30.29,3.82,390.46
41,11,19,29,22.51,15.6,84.86,Holstein,4,580,35.1,4.42,402.48
20,34,36,10,17.55,17.82,84.43,Friesian,7,705,34.23,3.55,546.87
52,28,19,1,16.39,19.31,62.93,Friesian,8,482,31.39,3.72,484.08
58,11,12,19,15.91,11.42,51.48,Friesian,1,251,26.65,3.37,412.08
56,10,10,24,15.11,9.74,69.58,White Fulani,6,665,28.49,4.0,379.56
57,33,14,0,20.22,15.6,71.43,White Fulani,1,450,37.41,4.1,541.67
48,12,29,11,16.24,10.64,78.45,Bunaji,3,397,29.83,4.22,372.61
37,17,10,36,20.78,16.82,58.36,Bunaji,3,512,33.96,3.74,439.53
21,10,25,44,24.55,14.7,85.31,Friesian,7,258,37.25,3.99,358.17
52,33,29,0,13.09,9.94,85.94,Bunaji,4,503,34.82,4.31,538.66
54,25,38,0,14.92,16.55,59.49,White Fulani,5,753,31.88,3.69,533.44
31,28,31,10,15.45,10.93,88.92,Bunaji,3,687,36.7,4.03,485.44
40,10,37,13,20.7,18.37,59.21,Holstein,3,765,30.59,3.58,360.52
50,12,37,1,23.09,11.53,65.4,White Fulani,7,410,36.22,3.93,374.74
44,19,31,6,21.05,14.84,53.89,Holstein,6,404,30.84,3.31,436.0
45,12,27,16,23.27,18.96,70.45,Bunaji,9,285,37.8,4.29,412.71
35,23,21,21,23.53,8.33,73.15,Jersey,7,300,40.95,3.7,465.73
41,26,29,4,12.5,11.64,71.48,Friesian,5,513,27.02,3.45,481.59
24,16,13,47,22.95,10.33,66.45,White Fulani,3,518,33.25,3.52,438.86
45,14,35,6,24.51,18.03,77.84,Holstein,5,307,37.03,4.44,410.63
51,31,25,0,14.38,19.22,75.53,Jersey,7,696,35.66,3.91,534.73
56,31,34,0,16.44,9.1,53.77,Jersey,4,702,31.67,3.37,569.81
40,16,13,31,14.25,13.21,65.94,White Fulani,6,349,27.64,3.4,424.17
20,33,14,33,20.89,15.39,87.76,White Fulani,2,746,41.23,4.15,522.52
39,33,21,7,17.05,15.72,68.33,Jersey,3,676,33.38,3.8,521.62
36,17,38,9,22.98,8.28,82.58,Friesian,9,445,36.42,4.14,426.53
30,33,13,24,17.43,19.61,71.92,Friesian,5,706,36.16,3.97,502.7
58,33,32,0,24.1,18.3,67.16,Holstein,7,466,41.41,4.25,566.16
39,25,34,2,16.16,18.75,65.57,Friesian,9,325,31.31,3.53,451.0
35,30,14,21,15.81,11.94,76.9,Jersey,4,400,36.12,3.73,505.99
58,23,35,0,17.74,18.65,64.04,Jersey,2,258,34.19,4.24,500.33
46,11,14,29,18.67,10.8,73.25,Bunaji,1,591,32.49,3.91,393.73
58,19,35,0,16.29,13.21,60.15,Jersey,2,469,33.38,3.87,485.95
58,10,12,20,19.58,19.55,64.99,Friesian,1,658,33.04,4.02,415.15
25,21,22,32,24.61,8.52,85.65,Holstein,6,462,39.52,4.31,474.52
33,24,10,33,20.16,15.01,86.05,Bunaji,9,261,36.99,4.07,462.3
27,13,35,25,17.05,10.75,60.64,Friesian,5,290,27.01,2.88,404.55
48,22,23,7,12.99,19.29,66.67,Holstein,5,699,26.39,3.36,460.79
52,31,10,7,18.24,19.82,65.07,Friesian,9,710,35.09,3.81,560.78
22,30,32,16,22.0,19.34,83.99,Bunaji,1,334,37.77,3.85,467.15
32,13,39,16,23.42,17.08,51.88,Jersey,8,403,26.25,3.31,360.64
20,31,21,28,19.29,18.52,66.14,Bunaji,7,456,33.97,3.47,509.26
30,28,16,26,13.77,8.17,64.02,Jersey,2,584,30.14,3.18,486.0
43,24,37,0,15.87,14.28,77.91,Bunaji,4,387,29.51,3.99,477.93
39,33,14,14,24.74,13.91,63.15,White Fulani,3,360,37.42,4.01,537.95
22,27,38,13,14.5,8.49,56.76,Friesian,6,654,26.85,3.2,493.63
31,23,11,35,13.67,11.96,62.86,Friesian,9,296,26.42,3.23,455.75
20,17,26,37,19.76,19.84,71.46,White Fulani,8,775,30.6,3.23,423.34
43,11,22,24,12.81,9.77,55.32,Jersey,3,612,23.1,3.18,417.48
34,34,32,0,16.9,8.24,62.88,Friesian,7,335,29.05,3.26,498.98
36,22,29,13,18.16,12.26,75.95,White Fulani,2,360,35.65,4.02,480.69
38,19,18,25,16.39,18.8,74.3,Friesian,8,564,33.0,3.81,436.55
52,30,31,0,14.93,12.38,69.51,Holstein,8,386,33.02,3.71,545.41
50,15,11,24,19.49,19.01,50.21,Jersey,6,753,30.1,3.64,440.34
21,24,20,35,19.43,11.36,80.78,Holstein,6,659,32.85,3.45,412.45
20,23,15,42,19.56,9.85,69.25,Jersey,3,259,32.22,3.85,482.68
21,22,17,40,22.53,11.06,77.26,White Fulani,1,799,32.9,3.66,439.39
31,12,12,45,24.04,16.66,51.92,Jersey,8,478,31.82,3.28,382.35
40,14,14,32,15.06,15.61,86.31,Jersey,9,291,32.82,4.06,369.24
57,10,32,1,17.7,14.93,64.21,White Fulani,7,353,29.23,3.77,390.74
25,12,16,47,21.5,16.32,56.67,Jersey,1,727,30.06,3.32,371.81
56,32,10,2,12.44,14.84,80.5,Friesian,1,367,32.01,4.41,529.11
24,24,13,39,21.39,16.64,75.65,Bunaji,3,541,35.9,4.13,431.44
42,24,35,0,24.31,9.84,73.45,White Fulani,2,709,37.95,4.5,467.45
50,18,31,1,13.01,9.25,83.62,Bunaji,7,654,30.48,4.07,417.53
59,24,30,0,16.93,16.93,58.22,White Fulani,9,366,33.56,3.59,516.92
44,20,15,21,16.5,12.16,79.5,White Fulani,1,428,33.62,3.78,469.78
41,27,30,2,18.7,19.71,68.36,Holstein,4,591,32.68,4.32,474.18
32,32,28,8,14.73,18.78,58.21,Holstein,1,678,30.81,3.04,462.99
21,31,37,11,18.25,13.96,80.61,Jersey,4,513,35.34,3.47,454.44
53,10,32,5,24.73,18.08,84.68,Bunaji,8,562,37.83,4.69,382.97
22,28,10,40,19.24,16.65,82.21,White Fulani,8,327,34.5,4.12,488.41
35,13,29,23,20.69,10.46,61.73,Jersey,2,256,33.43,3.74,390.61
37,11,10,42,22.63,12.1,60.38,Friesian,2,720,33.76,3.92,379.6
28,11,30,31,15.83,19.38,80.54,White Fulani,8,407,30.23,3.76,357.29
36,23,18,23,19.04,15.6,60.32,Friesian,6,527,33.72,3.22,458.02
42,14,20,24,22.69,14.36,82.6,Jersey,9,283,39.83,4.6,396.62
41,30,36,0,23.7,18.49,73.9,Holstein,9,704,40.01,4.46,511.14
40,23,11,26,14.16,16.86,53.31,Jersey,4,620,26.16,2.83,448.54
58,17,12,13,24.34,12.76,88.16,Friesian,6,318,39.23,4.67,445.52
39,28,12,21,22.94,18.16,88.21,White Fulani,2,450,39.65,4.62,498.6
44,20,17,19,17.65,10.96,82.76,Bunaji,5,357,33.88,4.03,465.59
53,21,28,0,16.09,17.69,88.48,Jersey,1,579,35.09,4.91,470.83
36,32,14,18,21.0,18.19,59.99,White Fulani,9,517,36.82,3.66,518.15
42,30,31,0,23.9,8.41,77.9,Holstein,9,747,42.62,4.3,527.13
58,26,23,0,19.75,10.76,54.82,Holstein,2,380,30.42,3.58,537.56
42,21,16,21,16.1,14.47,81.63,Holstein,9,646,34.1,4.15,425.01
54,19,11,16,12.28,18.5,71.16,White Fulani,3,288,29.65,4.35,443.99
29,34,16,21,18.79,16.79,50.13,Jersey,8,573,32.41,3.35,526.2
34,18,24,24,17.0,16.16,58.73,White Fulani,5,310,28.23,3.4,387.35
58,33,23,0,19.81,18.84,89.57,White Fulani,7,559,41.18,5.33,562.25
45,18,26,11,24.44,17.91,82.03,Bunaji,6,296,38.26,4.6,397.0
39,26,38,0,15.38,14.18,69.65,Bunaji,1,465,31.01,3.83,493.57
44,18,13,25,19.54,9.1,85.1,Jersey,3,790,36.97,4.47,445.69
